		
Слово	Толкования	Источники
замок	1.1. Дворец и крепость феодала	ТСРЯ-ОШ, БТСРЯ-К, ТСРЯ-У
	1.2. Название некоторых дворцов	ТСРЯ-ОШ, ТСРЯ-У
	1.3. То же, что тюрьма	ТСРЯ-ОШ, БТСРЯ-К
	2.1. Приспособление для запирания чего-н. ключом	ТСРЯ-ОШ, БТСРЯ-К, ТСРЯ-У
	2.2. Устройство для соединения подвижных частей механизмов	ТСРЯ-ОШ, БТСРЯ-К
лук	1.1. Ручное оружие для  метания стрел в виде  пружинящей дуги, стянутой тетивой	ТСРЯ-ОШ, БТСРЯ-К, ТСРЯ-У
	2.1. Огородное или дикорастущее растение сем. лилейных с острым вкусом луковицы и съедобными трубчатыми листьями	ТСРЯ-ОШ, ТСРЯ-У
атлас	1.1. Сборник таблиц, карт, специальных рисунков	ТСРЯ-ОШ, ТСРЯ-У
	2.1. Сорт гладкой и блестящей шелковой ткани	ТСРЯ-ОШ, ТСРЯ-У
граф	1.1. Дворянский титул ниже маркиза и выше барона; лицо с этим титулом	ТСРЯ-ОШ, БТСРЯ-К, ТСРЯ-У
	2.1. Матем. структура данных, состоящая из узлов (вершин) и соединяющих их дуг (ребер)	БТСРЯ-К
лавка	1.1. Скамья для сидения или лежания, обычно прикрепленная к стене	БТСРЯ-К, ТСРЯ-У
	2.1. Небольшой магазин	ТСРЯ-ОШ, БТСРЯ-К, ТСРЯ-У
мина	1.1. Средство заграждения -- взрывной снаряд, помещаемый обычно под водой или под землей	ТСРЯ-ОШ, БТСРЯ-К, ТСРЯ-У
	1.2. Снаряд миномета и нек-рых других гладкоствольных орудий	ТСРЯ-ОШ, БТСРЯ-К, ТСРЯ-У
	1.3. То же, что торпеда	ТСРЯ-ОШ, БТСРЯ-К, ТСРЯ-У
	2.1. Выражение лица	ТСРЯ-ОШ, БТСРЯ-К, ТСРЯ-У
хлопок	1.1. То же, что хлопчатник	ТСРЯ-ОШ, БТСРЯ-К, ТСРЯ-У
	1.2. Волокно семян хлопчатника, употр. для изготовления пряжи	ТСРЯ-ОШ, БТСРЯ-К, ТСРЯ-У
	1.3. То же, что хлопчатобумажная ткань	ТСРЯ-ОШ, БТСРЯ-К
	2.1. Отрывистый хлопающий звук	ТСРЯ-ОШ
	2.2. Удар в ладоши	ТСРЯ-ОШ
клетка	1.1. Помещение со стенками из поставленных с промежутками прутьев	ТСРЯ-ОШ, БТСРЯ-К, ТСРЯ-У
	1.2. Отдельный квадрат разграфленного пространства	ТСРЯ-ОШ, ТСРЯ-У
	2.1. Простейшая единица строения и жизнедеятельности живого организма	ТСРЯ-ОШ, БТСРЯ-К
декрет	1.1. Постановление верховной власти	ТСРЯ-ОШ, БТСРЯ-К, ТСРЯ-У
	1.2. Отпуск по беременности и родам	ТСРЯ-ОШ, БТСРЯ-К
среда	1.1. Вещество, заполняющее какое-л. пространство и обладающее определёнными свойствами	ТСРЯ-ОШ, БТСРЯ-К, ТСРЯ-У
	1.2. Совокупность характеристик природы, влияющая на жизнедеятельность какого-л. живого организма	ТСРЯ-ОШ, БТСРЯ-К
	1.3. Социально-бытовая обстановка, условия, в которых протекает жизнь и деятельность человека	ТСРЯ-ОШ, БТСРЯ-К
	2.1. Третий день недели	ТСРЯ-ОШ, БТСРЯ-К
лев	1.1. Крупное хищное млекопитающее семейства кошачьих, с короткой желтоватой шерстью и пышной гривой у самцов	ТСРЯ-ОШ, БТСРЯ-К, ТСРЯ-У
	1.2. О ком-л., отличающемся большой силой, храбростью, смелостью	БТСРЯ-К
	1.3. О мужчине, законодателе мод и правил светского поведения, пользующемся большим успехом у женщин	БТСРЯ-К, ТСРЯ-У
	1.4. Одно из двенадцати созвездий Зодиака	БТСРЯ-К
	1.5. О человеке, родившемся в конце июля - августе, когда Солнце находится в созвездии Льва	БТСРЯ-К
	2.1. Денежная единица в Болгарии	ТСРЯ-ОШ, БТСРЯ-К, ТСРЯ-У
обед	1.1. Прием пищи, обычно в середине дня	ТСРЯ-ОШ, БТСРЯ-К, ТСРЯ-У
	1.2. Пища, приготовленная для такого приема еды	ТСРЯ-ОШ, БТСРЯ-К, ТСРЯ-У
	1.3. Время такого приема пищи, обычно в середине дня	ТСРЯ-ОШ, БТСРЯ-К, ТСРЯ-У
	1.4. Перерыв в работе в середине дня	ТСРЯ-ОШ, БТСРЯ-К
курица	1.1. Домашняя птица, разводимая для получения яиц и мяса	БТСРЯ-К, ТСРЯ-У
	1.2. Мясо домашних кур, курятина	ТСРЯ-ОШ, БТСРЯ-К, ТСРЯ-У
	1.3. О человеке, имеющем жалкий вид; о безвольном, бесхарактерном человеке	БТСРЯ-К
пост	1.1. Место, пункт (обычно оснащенные техническими устройствами), откуда можно наблюдать за кем-, чем-л. или охранять кого-, что-л.	БТСРЯ-К
	1.2. Место постоянного наблюдения, а также само такое наблюдение	ТСРЯ-ОШ
	1.3. Ответственная должность	ТСРЯ-ОШ, БТСРЯ-К, ТСРЯ-У
	1.4. Часовой или группа часовых, ведущая наблюдение или охраняющая объект	ТСРЯ-ОШ, БТСРЯ-К, ТСРЯ-У
	2.1. Предписываемое церковными правилами воздержание от скоромной пищи; период такого воздержания	БТСРЯ-К
пропасть	1.1. Крутой и глубокий обрыв, бездна	ТСРЯ-ОШ, БТСРЯ-К
	1.2. Коренное различие, расхождение кого-л. в чем-л.	ТСРЯ-ОШ, БТСРЯ-К
	2.1. Множество, большое количество чего-то	ТСРЯ-ОШ
девятка	1.1. Цифра 9, а также количество девять	ТСРЯ-ОШ, БТСРЯ-К, ТСРЯ-У
	1.2. Группа их девяти единиц	ТСРЯ-ОШ, БТСРЯ-К
	1.3. Игральная карта с девятью очками	БТСРЯ-К, ТСРЯ-У
	1.4. Автомобиль "ВАЗ-2109"	БТСРЯ-К
	1.5. Название чего-н. (обычно транспортного средства), обозначенного цифрой 9	ТСРЯ-ОШ, БТСРЯ-К, ТСРЯ-У
	1.6. Название азартной карточной игры	БТСРЯ-К, ТСРЯ-У
крыло	1.1. Орган летания (у птиц, насекомых, а также у некоторых млекопитающих)	ТСРЯ-ОШ, БТСРЯ-К, ТСРЯ-У
	1.2. Одна из плоских несущих поверхностей летательного аппарата	ТСРЯ-ОШ, БТСРЯ-К, ТСРЯ-У
	1.3. Вращающаяся лопасть колеса ветряного двигателя	ТСРЯ-ОШ, БТСРЯ-К, ТСРЯ-У
	1.4. Покрышка над колесом экипажа, автомобиля, велосипеда и т.п.	ТСРЯ-ОШ, БТСРЯ-К, ТСРЯ-У
	1.5. Боковая пристройка, флигель	ТСРЯ-ОШ, БТСРЯ-К, ТСРЯ-У
	1.6. Правая или левая часть боевого построения, фланг	ТСРЯ-ОШ, БТСРЯ-К, ТСРЯ-У
	1.7. Крайняя (правая или левая) группировка какой-л. политической организации	ТСРЯ-ОШ, БТСРЯ-К, ТСРЯ-У
хвост	1.1. Придаток (обычно подвижный) на задней части тела животного или суженная задняя часть тела животного	ТСРЯ-ОШ, БТСРЯ-К, ТСРЯ-У
	1.2. Задняя часть летательного аппарата	ТСРЯ-ОШ, БТСРЯ-К, ТСРЯ-У
	1.3. Задняя, конечная часть чего-н. движущегося	ТСРЯ-ОШ, БТСРЯ-К, ТСРЯ-У
	1.4. Остаток, невыполненная часть какой-л. работы	ТСРЯ-ОШ, БТСРЯ-К, ТСРЯ-У
	1.5. Задняя часть длинного подола	ТСРЯ-ОШ, БТСРЯ-К, ТСРЯ-У
	1.6. Вереница людей, стоящих друг за другом	ТСРЯ-ОШ, БТСРЯ-К, ТСРЯ-У
	1.7. Удлиненная оконечность чего-н.	ТСРЯ-ОШ, ТСРЯ-У
	1.8. Отходы, получающиеся при обогащении полезных ископаемых	ТСРЯ-ОШ, БТСРЯ-К, ТСРЯ-У
штамп	1.1. Инструмент, форма для изготовления чего-л. давлением или чеканкой	ТСРЯ-ОШ, ТСРЯ-У
	1.2. Прямоугольный штемпель (оттиск) с названием учреждения, организации	ТСРЯ-ОШ, БТСРЯ-К, ТСРЯ-У
	1.3. То же, что трафарет, шаблон	ТСРЯ-ОШ, БТСРЯ-К, ТСРЯ-У
поток	1.1. Стремительно текущая водная масса	ТСРЯ-ОШ, БТСРЯ-К, ТСРЯ-У
	1.2. Движущаяся масса чего-н.	ТСРЯ-ОШ, БТСРЯ-К
	1.3. Поточное производство	ТСРЯ-ОШ, БТСРЯ-К, ТСРЯ-У
	1.4. Часть общего состава учащихся, разделённых для проведения каких-л. занятий	ТСРЯ-ОШ, БТСРЯ-К, ТСРЯ-У
